Post,Root Comment,Reply
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Cô Minh Châu nhé.,Cô dạy hay hay điểm cao hả anh mà cô có dễ tính k ạ
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Cô Minh Châu nhé.,Điểm khá cao. Khá dễ tính. Best teacher ever.
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Cô Minh Châu nhé.,Anh cho em hỏi luôn môn kiến trúc mt vs ạ
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Cô Minh Châu nhé.,Môn đó anh không rõ lắm.
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Cô Minh Châu nhé.,Vâng ạ thank a
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Cô Minh Châu nhé.,kiến trúc mt thầy thành đi học đầy đủ auto A nhé
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Né a Việt Anh ra  :))),Why?
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Né a Việt Anh ra  :))),Điểm danh siêu đủ và random chấm bt
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Né a Việt Anh ra  :))),"Chuẩn luôn, thầy Việt Anh chưa bao giờ k điểm danh"
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Né a Việt Anh ra  :))),Nhìn cái bảng tổng kết gửi cả lớp chi chít điểm danh
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Né a Việt Anh ra  :))),Opa Gou Học cả kì trừ những hôm thầy cho nghỉ ra còn lại k dám nghỉ buổi nào
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Né a Việt Anh ra  :))),"Thôi kỳ này đk lớp thầy đi, cho có tinh thần đến trg"
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Né a Việt Anh ra  :))),"còn chả biết thầy dạy môn nào nữa mà đăng kí, đợt trước học tin 1 của thầy"
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Né a Việt Anh ra  :))),Thầy có đẹp trai không?
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Né a Việt Anh ra  :))),suýt ^^
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Né a Việt Anh ra  :))),V.A sẽ đc tặng kèm bộ cạ Bảo Ngọc    max đập troai
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Kiến trúc máy tính thầy Thành  nhá,Ai khuyên đây nhể
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Kiến trúc máy tính thầy Thành  nhá,Ko biết
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Kiến trúc máy tính thầy Thành  nhá,
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Kiến trúc máy tính thầy Thành  nhá,Thầy dễ tính hay điểm cao hả chị
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Kiến trúc máy tính thầy Thành  nhá,Thầy thì ko dễ tính lắm. Nhưng điểm dễ. Đi học đầy đủ dc cộng 1 vào điểm TỔNG KẾT. Lên bảng 1 lần cộng 1 nữa.mình dc 6.0 mà cuối cùng lên 8.0 :))))
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Kiến trúc máy tính thầy Thành  nhá,Ok thank chị
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Phạm Đức Dũng :)),
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,Thêm chữ lại vào trước chữ học các anh sẽ tư vấn nhiệt tình hơn,
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,"Sinh viên giờ toàn tìm thầy cô dễ tính, ko kiểm tra nhiều mà điểm cao :)))",hồi xưa m ko thế à =))
Anh chị nào đã hk môn lập trình hướng đối tượng cho em xin review các thầy cô dạy môn này với ạ . Em cảm ơn,"Sinh viên giờ toàn tìm thầy cô dễ tính, ko kiểm tra nhiều mà điểm cao :)))",Như m thôi :)))
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",.,
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Thầy Trần Trúc Mai nhé,Thầy tên kute thế
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy Nguyễn Hoài Sơn nhé,Thầy dạy dễ hiểu không ạ?
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy Nguyễn Hoài Sơn nhé,dễ thì dễ nhưng điểm sao đc vậy
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy Nguyễn Hoài Sơn nhé,"thầy dạy dễ tập trung trên lớp là được, giữa kỳ cũng k khó lắm cứ theo slide là được, đấy là năm mình học"
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy Nguyễn Hoài Sơn nhé,Em cảm ơn ạ ^^
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy Nguyễn Hoài Sơn nhé,???? Anh
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy Nguyễn Hoài Sơn nhé,thế n mới thú zị
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",học thầy Hồ Đắc Phương với Sơn đi,Thầy dễ tính không
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",học thầy Hồ Đắc Phương với Sơn đi,"học vui lắm, thầy bảo đến lớp không được mang sách vở, chỉ cần ngồi nghe thôi rồi về nhà làm gì thì làm"
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",học thầy Hồ Đắc Phương với Sơn đi,thầy cũng k khó tính đâu. đến trc thầy là đc
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",học thầy Hồ Đắc Phương với Sơn đi,Thế thì Chin trượt chắc luôn =))
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",học thầy Hồ Đắc Phương với Sơn đi,chỉ cần đến lớp đúng giờ thôi mà
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",học thầy Hồ Đắc Phương với Sơn đi,Đấy là cả vấn đề luôn rồi =)))
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",học thầy Hồ Đắc Phương với Sơn đi,Nguyen Thi Thu Huong điểm thế nào vậy chị?
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",học thầy Hồ Đắc Phương với Sơn đi,cũng đc. nói chung thầy dễ tính mà
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Vote học marketing :)) học mạng máy tính tạch đấy,Kiểu gì cũng phải học 1 cái không liên quan nên học mạng chắc hay hơn a ạ
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Vote học marketing :)) học mạng máy tính tạch đấy,:)) A khuyên thôi. chứ tùy e mà
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Vote học marketing :)) học mạng máy tính tạch đấy,marketing đi e ơi
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Vote học marketing :)) học mạng máy tính tạch đấy,Học mạng khó lắm à a
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Vote học marketing :)) học mạng máy tính tạch đấy,thấy mấy đứa lớp a học xong lại chuyển qua marketing  để cái thiện
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Vote học marketing :)) học mạng máy tính tạch đấy,điểm cao thì học marketing mặc dù chưa học  nhưng mà thic cảm giác mới lạ thì học mạng cũng ok
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Vote học marketing :)) học mạng máy tính tạch đấy,Thích chơi ngu lấy tiếng chị ạ Nguyen Thi Thu Huong
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy nguyễn văn nam best cho điểm nhé,Dễ hiểu không ạ?
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy nguyễn văn nam best cho điểm nhé,Bỏ thầy Nam đi ._.
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy nguyễn văn nam best cho điểm nhé,Sao thế
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy nguyễn văn nam best cho điểm nhé,thầy dạy không hay đâu :))
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy nguyễn văn nam best cho điểm nhé,Thầy nam nào thế chú
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy nguyễn văn nam best cho điểm nhé,Nam tin 1 ý
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy nguyễn văn nam best cho điểm nhé,Vũ Quốc Phong nam cơ nhiệt
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",thầy nguyễn văn nam best cho điểm nhé,thế chốt lại là th Nam nào?  mà tin1 hay cơ nhiệt cũng nên tránh
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Học marketing đi. Học mạng ko học đc đâu,Sao vậy chị?
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Học marketing đi. Học mạng ko học đc đâu,Nghe thì hay thôi toàn c với D có khi trượt. Học marketing điểm dễ mad nhàn hơn.
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Học marketing đi. Học mạng ko học đc đâu,Khó vậy ạ @@
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Học marketing đi. Học mạng ko học đc đâu,Ờ. Đừng lao vào học.mấy đứa lớp chị từng nghĩ như e rồi học lại hêt .Ko được thêm gì khéo lại trượt đấy.
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Học marketing đi. Học mạng ko học đc đâu,Học marketing đi. Nhàn hơn nhiều
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Học marketing đi. Học mạng ko học đc đâu,Yeb. Chị tích lũy bao nhiêu rồi thế
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Học marketing đi. Học mạng ko học đc đâu,Trên 3.2
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Học marketing đi. Học mạng ko học đc đâu,Chị đã làm như nào vậy
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Với kinh nghiệm học mỗi tuần một thầy và mỗi thầy một phong cách dạy  thì anh thấy học thầy nào cũng ổn,Thầy cô nào có thể bao dung cho bọn vãng lai như e =))
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Với kinh nghiệm học mỗi tuần một thầy và mỗi thầy một phong cách dạy  thì anh thấy học thầy nào cũng ổn,:)) Học như bọn anh mà còn qua đc/ :))
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Với kinh nghiệm học mỗi tuần một thầy và mỗi thầy một phong cách dạy  thì anh thấy học thầy nào cũng ổn,1 sinh viên giỏi chia sẻ
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Với kinh nghiệm học mỗi tuần một thầy và mỗi thầy một phong cách dạy  thì anh thấy học thầy nào cũng ổn,tạch rồi bé
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Với kinh nghiệm học mỗi tuần một thầy và mỗi thầy một phong cách dạy  thì anh thấy học thầy nào cũng ổn,E nghi lắm
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Với kinh nghiệm học mỗi tuần một thầy và mỗi thầy một phong cách dạy  thì anh thấy học thầy nào cũng ổn,tạch rồi/. cả  2 đứa
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Với kinh nghiệm học mỗi tuần một thầy và mỗi thầy một phong cách dạy  thì anh thấy học thầy nào cũng ổn,Kì này e chưa tạch môn nào hú hú
"Mọi người ơi cho em xin review môn Tối ưu hoá của thầy Nghiêm Nguyễn Việt Dũng và môn Phương pháp tính của thầy Lê Phê Đô với ạ 
Trong 2 môn trên em nên học môn nào hơn và môn đó sẽ về nội dung gì ạ? 
Em cảm ơn!",Học chuyên nghiệp trong cn đi,Môn đấy không được tính hay sao ý a
